idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1420,,Whole Clean Corpus,42.612745412163214,3.7521533966064453,153,procon_corpus.jsonl#L1248,159097fd-c1d1-4217-9e42-56e0ab7af2f9
1421,,Whole Clean Corpus,84.82419706806645,4.44058084487915,47,procon_corpus.jsonl#L1249,3a290b09-11c2-4924-a6a0-8280a09945e1
1422,,Whole Clean Corpus,31.95022673706271,3.464179277420044,100,procon_corpus.jsonl#L1250,cfb6a2c8-74f8-4d3a-b164-8a64d13cec01
1423,,Whole Clean Corpus,27.636387212953093,3.3191332817077637,67,procon_corpus.jsonl#L1251,688d0a37-e533-4c0d-8f50-863f8b836cf8
1424,,Whole Clean Corpus,31.409148652321317,3.447099208831787,21,procon_corpus.jsonl#L1252,6b1edb17-2b3c-414e-9a82-135c7873d71a
1425,,Whole Clean Corpus,39.393832036195015,3.6736092567443848,87,procon_corpus.jsonl#L1253,528b55aa-c692-4aa4-9bb6-c513326a87fa
1426,,Whole Clean Corpus,29.938338440254903,3.399139881134033,28,procon_corpus.jsonl#L1254,7fd69430-16e6-4f2e-867e-2691069ca243
1427,,Whole Clean Corpus,39.93298571592327,3.6872026920318604,77,procon_corpus.jsonl#L1255,4c9da62d-cbbc-46f7-b5e0-7b347a2224cb
1428,,Whole Clean Corpus,27.750546645640714,3.3232555389404297,57,procon_corpus.jsonl#L1256,453b9986-a3b8-485f-8b0f-8b6c2d7cdc1c
1429,,Whole Clean Corpus,32.29154253988984,3.4748053550720215,151,procon_corpus.jsonl#L1257,7873daa5-655e-4437-91df-fe521505d40a
1430,,Whole Clean Corpus,48.59637671757192,3.8835489749908447,33,procon_corpus.jsonl#L1258,6bef9f5d-af4b-4f85-a8e6-341cce55a1c6
1431,,Whole Clean Corpus,25.739164303965246,3.248013734817505,136,procon_corpus.jsonl#L1259,d9d1bd81-a2d4-477a-82ed-7cf231ecf148
1432,,Whole Clean Corpus,44.198023752365515,3.788680076599121,57,procon_corpus.jsonl#L1260,a01228a7-9b14-4374-9d6c-d7d7419da1b9
1433,,Whole Clean Corpus,26.907694350347118,3.292412281036377,190,procon_corpus.jsonl#L1261,74c76570-dbc7-4bba-a12d-6d8da5c380cd
1434,,Whole Clean Corpus,31.493282379312515,3.4497742652893066,80,procon_corpus.jsonl#L1262,d267a701-263a-4dbe-aba2-6ff7094e83b6
1435,,Whole Clean Corpus,27.792167548187585,3.324754238128662,120,procon_corpus.jsonl#L1263,40b446c5-0432-4804-b10b-d37f0a7da0ee
1436,,Whole Clean Corpus,87.9393084798752,4.476646900177002,56,procon_corpus.jsonl#L1264,cd088586-442d-49c9-88db-434fa574a8c7
1437,,Whole Clean Corpus,39.41432179798141,3.6741292476654053,212,procon_corpus.jsonl#L1265,96e9e1e6-ffee-4488-be5a-9d206361d1d8
1438,,Whole Clean Corpus,47.09614779064147,3.852191209793091,214,procon_corpus.jsonl#L1266,c35a416c-7ef5-47f7-a982-7731906d8829
1439,,Whole Clean Corpus,40.3655359674983,3.6979763507843018,191,procon_corpus.jsonl#L1267,642128fa-8b34-4af2-99c0-c112b090e8e8
1440,,Whole Clean Corpus,48.88862370855047,3.889544725418091,195,procon_corpus.jsonl#L1268,b944dcaf-55dd-49e0-a056-a12cef7bd104
1441,,Whole Clean Corpus,91.532497110856,4.516694068908691,66,procon_corpus.jsonl#L1268,b432077b-8b33-4d61-a31a-c34d0d517f2d
1442,,Whole Clean Corpus,27.645817720910195,3.319474458694458,229,procon_corpus.jsonl#L1269,53ba90ea-b1c0-4ca2-9756-2c0402ddf338
1443,,Whole Clean Corpus,65.15153412200056,4.176715850830078,114,procon_corpus.jsonl#L1269,5ca6e464-2069-44cc-b593-d287c9db2744
1444,,Whole Clean Corpus,49.384341861981476,3.8996334075927734,192,procon_corpus.jsonl#L1270,c0e150a7-471f-4724-b4b8-9e8e72801f8e
1445,,Whole Clean Corpus,33.636310897693164,3.515606164932251,162,procon_corpus.jsonl#L1271,36e6e03d-d01f-4dad-93ee-18052fba9213
1446,,Whole Clean Corpus,95.25151685561012,4.556520938873291,82,procon_corpus.jsonl#L1272,e31bc872-0970-47d4-b482-304dcf07b895
1447,,Whole Clean Corpus,42.12690688908041,3.7406866550445557,163,procon_corpus.jsonl#L1273,31ea56d3-b96a-4060-8700-f27deb42f45d
1448,,Whole Clean Corpus,41.918722104066,3.7357325553894043,189,procon_corpus.jsonl#L1274,cc7fcdf8-c912-4b98-8bc5-a1cfce726bf1
1449,,Whole Clean Corpus,58.6092941740045,4.070893287658691,193,procon_corpus.jsonl#L1275,799fbee5-87ad-41d7-a30a-f2b607fe9806
1450,,Whole Clean Corpus,76.50919478048716,4.337410926818848,105,procon_corpus.jsonl#L1275,4a2f99ad-b0e6-4f89-97b6-33d65cb33a16
1451,,Whole Clean Corpus,49.256217275885305,3.897035598754883,204,procon_corpus.jsonl#L1276,6539279a-fd6a-4eef-8d5e-c3fa8af76ec3
1452,,Whole Clean Corpus,96.35942337263157,4.568085193634033,98,procon_corpus.jsonl#L1276,f065e9ed-851a-4b5b-b838-54e7231c4c76
